filename,target,speaker_id,gender,age,country
auf_749e81815a9f484bbc0754e7ef95e3c4.wav,auf,DE_01,male,20-60,Austria
baden_1a69f1424975495489660a2349c79f2e.wav,baden,DE_02,male,20-60,Germany
bahnen_a40097226267422888a9cbca74d9220b.wav,bahnen,DE_03,male,20-60,Germany
Bein_a4877265d21648a48232a71634698794.wav,bein,DE_03,male,20-60,Germany
bell_ae75a9ac40164850b1d229726699c298.wav,bell,DE_01,male,20-60,Austria
Ben_7437f233d06b4dce9c7ce236eb2ac38f.wav,ben,DE_03,male,20-60,Germany
Bier_eb73da2bbdd349ea9b725e176bbc73f0.wav,bier,DE_02,male,20-60,Germany
bist_45dc60cfdb1646308e6e1311bc7734cd.wav,bist,DE_01,male,20-60,Austria
Bonn_df8d9e69bfd24ac1962e705e0f0bbfcd.wav,bonn,DE_04,male,20-60,Germany
Bus_2be960d0b29e41d6b331efcf1033d863.wav,bus,DE_05,male,20-60,Germany
chi_bcc0d169ecf949ae928789574d6ad2ee.wav,chi,DE_05,male,20-60,Germany
clever_79831344ec4648f587aa5199c0ca66b0.wav,clever,DE_03,male,20-60,Germany
dar_9f8fdb3d65ea43d6bfd61e3372932d5d.wav,dar,DE_01,male,20-60,Austria
denn_ca44b93c63ad4c439b55c42b4b151d6a.wav,denn,DE_03,male,20-60,Germany
dick_ca40637b30f940a5a969b2906cf107d7.wav,dick,DE_06,male,20-60,Germany
dir_ae1ed286e5ed4f63abf1b5cb4dceb775.wav,dir,DE_01,male,20-60,Austria
doll_c16f9c2c159844c1b14d5804749a3e5a.wav,doll,DE_02,male,20-60,Germany
dross_7efe51d66d8e42b8a247e1ba65a47af7.wav,dross,DE_04,male,20-60,Germany
Dur_3f95458ecb9e48e9ad760fe90f0ac70f.wav,dur,DE_03,male,20-60,Germany
Enge_99bcfd7dc84b49de82779458b0f95b5c.wav,enge,DE_07,male,60 ,Germany
Fass_98ece097645a4b25abb3cf664a2bde02.wav,fass,DE_07,male,60 ,Germany
fest_861801e9cc7f4da69f3d8b71bdbf9a5b.wav,fest,DE_06,male,20-60,Germany
Fett_6fc0da2d95ca4bb78d97e466b30e41cd.wav,fett,DE_01,male,20-60,Austria
fit_4252f1557dc44b82b6b8a90b67ce44fe.wav,fit,DE_03,male,20-60,Germany
fliee_4a9c86f4b8c7408c91ef70437bd3ed51.wav,fließe,DE_02,male,20-60,Germany
Flut_228dd718f03e43e7bf65774acf46c6e9.wav,flut,DE_03,male,20-60,Germany
frisch_d5b18a7ddfca43ef866d6e3034745ea4.wav,frisch,DE_06,male,20-60,Germany
fuhr_7337599fea794f558e7bea2a911931f0.wav,fuhr,DE_02,male,20-60,Germany
gar_5b2f77d3ec5b4ddda8182d0ebf577b7d.wav,gar,DE_07,male,60 ,Germany
Gier_e84e8686cb2d457689555c22727afde5.wav,gier,DE_03,male,20-60,Germany
Guss_bfa128fa36ef43efaeceb124366a689f.wav,guss,DE_01,male,20-60,Austria
Hagen_4ae931b7ee22458b8c036eb4e174fd49.wav,hagen,DE_07,male,60 ,Germany
Hall_e4028447e56e4fd1a0a921c020927073.wav,hall,DE_01,male,20-60,Austria
hiel_d5ef62751b684e91bdf4ee7cece59cbe.wav,hiel,DE_02,male,20-60,Germany
Hof_ad2ac76e7e6448f3a3719498d032770d.wav,hof,DE_04,male,20-60,Germany
Hut_4d6d3144df444ae2b7a3e02d9848fa4a.wav,hut,DE_04,male,20-60,Germany
kahl_f6e7a864a8ec499b924c9549f3bb2468.wav,kahl,DE_02,male,20-60,Germany
Kahn_3cc86c5631de44f4b4dc0f363d5d40e7.wav,kahn,DE_04,male,20-60,Germany
Kap_95f2e6d5ae744770a63716a8ce975fc0.wav,kap,DE_07,male,60 ,Germany
Kleffer_a2540e77a27a415098f86f1d6f5330e1.wav,kleffer,DE_07,male,60 ,Germany
Kopf_4129ef699dcc4ea5aba89606123f4ce8.wav,kopf,DE_04,male,20-60,Germany
kusch_49a2cd091b1f434dabd65c6111395119.wav,kusch,DE_03,male,20-60,Germany
Kuss_40b16295a3ed420395ef01121412d057.wav,kuss,DE_01,male,20-60,Austria
leb_b26427db362f49ab8e9b59496c13a062.wav,leb,DE_07,male,60 ,Germany
Leib_d8fc64e062ac471596b65f58fc17c29e.wav,leib,DE_03,male,20-60,Germany
lieb_eb78b4b7f3cf4e09b7758a58d3638e00.wav,lieb,DE_07,male,60 ,Germany
Lied_1ce9ec380e2042d2b1e230ddd3c3356a.wav,lied,DE_01,male,20-60,Austria
lief_966e4916061f47b18fa1331f7a444dd6.wav,lief,DE_03,male,20-60,Germany
aus_d50cc82b34e745728d27741d4af5aa29.wav,aus,DE_08,female,20-60,Germany
Bahn_063144963ffa4908bc29cab29bd061f6.wav,bahn,DE_09,female,20-60,Germany
Beil_dd5085aff2ee45dcb86b339b7e70d0f0.wav,beil,DE_10,female,20-60,Austria
Bein_851bfab1aeb84a378bc1c078415b6483.wav,bein,DE_11,female,13-19,Brazil
Ben_c2cb3e226e194785bfe1ef5459dceb09.wav,ben,DE_10,female,20-60,Austria
Bern_2e4e114ebdbe4c7db61205e14840674e.wav,bern,DE_12,female,20-60,Germany
bind_65ef64d7a028451985744dc0d384d121.wav,bind,DE_13,female,20-60,Germany
Bock_4b6560bc90354554b56269c1600f3826.wav,bock,DE_14,female,20-60,Germany
Bord_09cbfda1c8ef438ba3d2ab6f02fe391e.wav,bord,DE_15,female,20-60,Germany
Bus_8b6189793d1a474d9f9694a0031593d3.wav,bus,DE_16,female,20-60,Germany
Chor_0b3cf5964b6e48ecbad7283a598b095d.wav,chor,DE_17,female,20-60,Germany
dacht_7350db033c5843dd94827a1d171bc764.wav,dacht,DE_13,female,20-60,Germany
dein_4cc679e2e031480c9ae4918507ef8c7a.wav,dein,DE_13,female,20-60,Germany
dicht_3589528ebc6f4405a4b21caa2f4a3716.wav,dicht,DE_14,female,20-60,Germany
